,temperature,dew_point_temperature,humidity,wind_direction,visibility,Label
161,18,8.6,54,60,20.36,1
162,15.6,14.3,92,250,10.36,1
163,17.7,13.7,77,70,13.63,1
164,20,15.1,73,40,7.42,1
165,12.2,7.6,73,60,13.72,1
166,18.3,17.8,97,190,6.24,1
167,15.5,13.5,88,70,8.46,1
168,12,7.3,73,50,13.67,1
169,21.3,15.3,69,350,5.14,1
170,18.2,11.4,64,40,25.12,1
171,16.1,9,63,30,18.59,1
172,21.7,18.1,80,180,27.58,1
173,16.5,14,85,350,9.72,1
174,17.9,15.7,87,280,2.8,1
175,18.4,14.3,77,70,12.61,1
176,29.5,17.6,49,110,26.01,1
177,15.2,7.7,61,20,16.39,1
178,14.1,7.2,63,40,19.37,1
179,27.7,15.7,48,50,24.8,1
180,21.8,8,41,60,18.65,1
181,18.2,10.7,62,20,30.55,1
182,17.1,14.7,86,220,2.59,1
183,17.6,13.1,75,350,13.82,1
184,19.8,17,84,210,6.78,1
185,21.3,14.9,67,150,14.64,1
186,19.4,19.1,98,10,4.94,1
187,17.5,16.4,93,200,18.0,1
188,14.2,9.3,72,60,31.78,1
189,19.5,17.1,86,20,3.95,1
190,23.5,12.2,49,90,18.71,1
191,22.8,18.6,77,200,14.37,1
192,15.9,14,88,80,3.96,1
193,14.6,11.8,83,40,12.58,1
194,16.7,15.4,92,70,20.28,1
195,26.4,16.4,54,40,24.67,1
196,19.2,15.9,81,10,23.2,1
197,19.1,14,72,170,15.76,1
198,15.7,13.7,88,100,10.86,1
199,18.1,17.8,98,20,3.8,1
200,16.7,12.3,75,40,12.57,1
201,20.6,16.4,77,210,13.68,1
202,27.9,16,48,50,25.05,1
203,15.2,12.9,86,60,13.95,1
204,13.5,13.2,98,70,11.6,1
205,16.3,8.9,62,70,15.34,1
206,23.2,14,56,80,35.97,1
207,19.8,14,69,50,16.09,1
208,9.7,9.1,96,40,5.75,1
209,18.8,15.9,83,200,7.17,1
210,17.6,6.5,48,50,20.28,1
211,19.5,12.4,64,70,25.39,1
212,13.5,10.1,80,70,18.2,1
213,23.7,16.8,65,110,22.75,1
214,22.7,15.6,64,70,25.06,1
215,20.8,15.4,71,60,11.62,1
216,16.6,15,90,30,2.72,1
217,22.9,10.7,46,40,21.91,1
218,15.4,13.6,89,20,8.87,1
219,17.2,7.3,52,40,21.18,1
220,15,7.1,59,50,16.73,1
221,18.6,16,85,180,8.05,1
222,26.1,17.2,58,270,20.32,1
223,16.6,10.7,68,60,21.25,1
224,12.7,12.4,98,60,15.71,1
225,15.1,3.7,46,60,31.69,1
226,21.4,15.2,68,40,23.48,1
227,15.3,3.5,45,40,9.5,1
228,14.1,12.1,88,50,6.74,1
229,15.4,9.6,68,10,19.34,1
230,15.9,12.7,81,70,4.81,1
231,16.9,16.3,96,60,8.61,1
232,16.5,16.3,99,250,2.55,1
233,23.5,13,52,40,27.0,1
234,22.4,14,59,50,10.36,1
235,15.6,15.6,100,60,3.65,1
236,16.4,13.3,82,80,10.95,1
237,19.4,19.4,100,280,3.57,1
238,15.6,15.1,97,280,3.2,1
239,17,13,77,30,6.93,1
240,15,13.2,89,70,6.39,1
241,19.6,19.6,100,260,13.21,1
242,15.4,9.8,69,60,18.49,1
243,19.2,2.1,32,60,42.54,1
244,19.5,19.5,100,280,5.76,1
245,19.1,11.9,63,20,23.82,1
246,13.5,13.5,100,90,8.25,1
247,19.5,19.5,100,40,1.38,1
248,12.8,12.8,100,310,3.99,1
249,26.1,16.4,55,90,28.53,1
250,18.9,18.1,95,310,10.84,1
251,17.5,12,70,80,24.36,1
252,21.6,18.2,81,50,24.07,1
253,18.1,17.2,94,260,10.91,1
254,16,14.4,90,40,24.53,1
255,19.1,13.7,71,90,16.79,1
256,18.4,11.5,64,50,16.18,1
257,13.8,12.9,94,30,9.77,1
258,16.1,16.1,100,40,2.93,1
259,17.5,9.2,58,80,24.19,1
260,15.3,14.8,97,70,25.94,1
261,21.5,14.2,63,90,31.69,1
262,15.1,13.6,91,40,1.82,1
263,16.5,13.5,82,70,16.72,1
264,18.4,17.8,96,170,14.65,1
265,15.6,14,90,70,5.35,1
266,19.3,19.3,100,290,4.04,1
267,19.2,19.2,100,260,8.94,1
268,23.5,10.1,43,360,21.0,1
269,19.2,17.5,90,40,2.14,1
270,27.4,19.2,61,160,18.27,1
271,17.5,13,75,70,6.22,1
272,20,12.9,64,90,31.11,1
273,16.5,14.9,90,70,0.95,1
274,15.8,14.8,94,90,8.11,1
275,24.3,17.7,67,100,28.63,1
276,24.5,17,63,100,16.49,1
277,17.1,9.6,61,40,29.54,1
278,18.6,16.1,85,220,12.68,1
279,19.4,15.5,78,10,21.53,1
280,18.8,18,95,210,7.54,1
281,12.8,12,95,50,10.78,1
282,9.2,9.1,99,30,5.58,1
283,16.6,13.9,84,40,3.39,1
284,16.8,10.9,68,20,21.89,1
285,14.9,11.5,80,70,15.89,1
286,18.6,18.6,100,80,3.17,1
287,18.3,7.1,48,60,24.23,1
288,19.7,7.1,44,50,40.75,1
289,19.7,13.4,67,40,20.83,1
290,19.5,19.5,100,260,5.99,1
291,16.3,12.5,78,60,6.93,1
292,15.3,14.7,96,90,6.95,1
293,18.1,15.4,84,70,16.2,1
294,17.4,15.4,88,70,18.53,1
295,20.2,15,72,70,28.75,1
296,22.7,14,58,170,15.01,1
297,15.5,9.9,69,40,28.43,1
298,21.4,10.5,50,80,26.91,1
299,17.6,15.6,88,200,6.64,1
300,13.1,4.5,56,40,24.05,1
301,18.7,13.6,72,70,7.0,1
302,14.1,12.2,88,50,2.95,1
303,23.5,19.2,77,170,10.96,1
304,17.2,13.5,79,60,6.44,1
305,15,14.8,99,70,16.08,1
306,19.9,12.8,64,10,17.42,1
307,16.3,13,81,60,27.92,1
308,16.6,12.5,77,70,27.04,1
309,15.8,15.8,100,70,3.59,1
